Input,INTENT
I was in the bathroom and somebody called and respected and it's like come back,cnfm appt
I think he just call me and I was trying to get back with him,cnfm appt
Okay just checking,cnfm appt
Thank you that's what I wanted to know thank you,cnfm appt
I was just making sure the time,cnfm appt
I just received a call,cnfm appt
That's what I just wanted to make sure confirm,cnfm appt
Calling to confirm appointment,cnfm appt
Confirm appointment,cnfm appt
Just checking thank you,cnfm appt
None just thank you I was just calling to see what they work,cnfm appt
Yes service tech,cnfm appt
Is there an appointment today,cnfm appt
Confirm,cnfm appt
What time is my appointment for,cnfm appt
I want to know why my appointment was changed from today to Tuesday,cnfm appt
I was supposed to have an appointment today,cnfm appt
Checking on my service,cnfm appt
About my appointment for me to somebody,cnfm appt
No thank you have a good day bye-bye,cnfm appt
I want to confirm the address,cnfm appt
Do you have any openings today,cnfm appt
Confirm,cnfm appt
I just wanted to know what time,cnfm appt
Technician work,cnfm appt
Technician,cnfm appt
I'm calling concerning a problem that I'm having,cnfm appt
Solano appointment at a local telephone is working fine now,cnfm appt
Confirm it,cnfm appt
Confirm appointment,cnfm appt
Confirm,cnfm appt
I just want to confirm it,cnfm appt
I wanna make sure it's the right time between 1 and 2 on Sunday December third,cnfm appt
No no that's no not not December fifth it has to be tomorrow December second,cnfm appt
Tech mission not here,cnfm appt
Have a technician,cnfm appt
Talk to a lady before she had it set-up so I have a technician tonight,cnfm appt
Tech was posted come today tonight,cnfm appt
Okay could I get a sooner date for time,cnfm appt
I'm just making sure you still coming,cnfm appt
No just to make sure that nobody comes in the morning,cnfm appt
I'm waiting,cnfm appt
Nobody called me,cnfm appt
Yes Wenckebach verified I'm here waiting for them,cnfm appt
Yes the appointment is now changed from your from 9 to 10 correct,cnfm appt
Technician didn't right,cnfm appt
I'm trying to call the technician,cnfm appt
I'm trying to get ahold of my technician,cnfm appt
Make sure the technician gets here today,cnfm appt
I got an email that said some information been changed on my account so I was supposed to call this number because I didn't authorize,cnfm appt
Where is my technician,cnfm appt
Where is my technician,cnfm appt
The technician has left my Internet not working,cnfm appt
Yes technician was already here and he left,cnfm appt
ETA for technician,cnfm appt
To get someone here,cnfm appt
Keep the appointment,cnfm appt
I want to know why they changed the time they was supposed to be here between four and five,cnfm appt
You can I was just making sure that they're on their way,cnfm appt
By check I just need to know the time,cnfm appt
Just confirming it it's okay,cnfm appt
I want to let the driver know how to get back to where I'm at,cnfm appt
Hi just wanted to let the guy know exactly how to get back to where I'm at,cnfm appt
Just checking on it,cnfm appt
I want to make sure that technician is going to be here because I have things to do,cnfm appt
What time would,cnfm appt
When will I get the technician number or details when they come,cnfm appt
What happened,cnfm appt
I was just verifying it,cnfm appt
About no service,cnfm appt
Oh that's all I just want to confirm,cnfm appt
Okay thank you I'm I'm waiting for an appointment I'm waiting at home,cnfm appt
Okay I'm waiting I'm waiting here at home I'm ready,cnfm appt
Tell me if he's on his way,cnfm appt
The technician is not here around,cnfm appt
It's just about six o'clock and no technician showed up yet,cnfm appt
The tech coming,cnfm appt
You called me,cnfm appt
Can you check when the technician arrive,cnfm appt
What time will the technician be,cnfm appt
Time,cnfm appt
Confirm,cnfm appt
Where is the technician,cnfm appt
Tech,cnfm appt
I need to know when a check is at,cnfm appt
Technician arrives supposedly but not here,cnfm appt
Confirm,cnfm appt
Update,cnfm appt
Update,cnfm appt
I'm I'm waiting on the appointment I haven't got a call yet,cnfm appt
Have a technician call me,cnfm appt
Okay just checking on appointment,cnfm appt
I got a call from a man I just want to verify he was still coming,cnfm appt
Please suppose to be here between four and five,cnfm appt
Tech mission call,cnfm appt
Hello my calling me,cnfm appt
Call me,cnfm appt
Yes I want I needed to know what time to expect them,cnfm appt
I just wanna know if you're still coming,cnfm appt
Hi I was wondering why I was called twice by this number,cnfm appt
Where's the technician,cnfm appt
Update,cnfm appt
Trying to see if the technician tripped a technician,cnfm appt
I want to see why my TV is not in service problem maybe someone could walk group to checking,cnfm appt
Tech is coming today,cnfm appt
Tech appointment today,cnfm appt
The technician is not here although your app says he is here and arrived twenty minutes ago,cnfm appt
I want to know where the check was,cnfm appt
No you should have been about twelve minutes right,cnfm appt
Oh wait for the technician to come,cnfm appt
Oh just wait for the technician to come,cnfm appt
Confirm time,cnfm appt
Oh wait for the technician to come,cnfm appt
Just wanted to make sure someone's coming,cnfm appt
Zero eight Sunnah dispatch,cnfm appt
You guys called me,cnfm appt
What is it,cnfm appt
Technician,cnfm appt
Different technician,cnfm appt
I just wanted to make sure that technician is coming,cnfm appt
The technician has still not arrived,cnfm appt
Just want to confirm my appointment,cnfm appt
I don't know where my technician is,cnfm appt
Dispatch,cnfm appt
I just want to make sure they coming,cnfm appt
Confirm my appointment on another phone number,cnfm appt
Confirm appointment,cnfm appt
I'm just calling to see if it was concerns or not,cnfm appt
I was just making sure that it was still on,cnfm appt
Call me,cnfm appt
I just saw a spectrum club for my house and left so I think you may have not like to come,cnfm appt
I was told it was going to try and get someone out sooner so I thought it was a technician call,cnfm appt
Confirm,cnfm appt
I don't know my husband has that,cnfm appt
Is there an appointment for today,cnfm appt
I want to know the time,cnfm appt
Call me when I pick the phone absolutely hung up,cnfm appt
I was just making sure they were coming,cnfm appt
Call center is a cable man is next door and I'm wondering if he's supposed to be here,cnfm appt
Just confirming the time,cnfm appt
What happens if you does not show up at three will he come later,cnfm appt
What happened,cnfm appt
Hello it's nearly three and I just wanna,cnfm appt
Anything is fine just wanted to check and make sure my appointment was still on the books,cnfm appt
Oh no you tell me what I needed to know that's fine thank you,cnfm appt
The date oh two I mean you know,cnfm appt
I'm glad it's there I wanted to confirm it,cnfm appt
He was going to be here early and it hasn't shown up yet,cnfm appt
It was supposed to be today,cnfm appt
Include service call,cnfm appt
Thank you I was just calling to confirm it and you gave me the information I needed thank you very much,cnfm appt
Okay just making sure it's coming,cnfm appt
Oh confirming the appointment,cnfm appt
No that's all just confirming my appointment,cnfm appt
Hey supposed to be here at two p.m.,cnfm appt
I'm calling about the appointment is at two o'clock,cnfm appt
I was wondering if I can find out exactly if the driver is running behind schedule,cnfm appt
I just wanted to confirm it,cnfm appt
Hi I just want to confirm it,cnfm appt
I just I just want to make sure that,cnfm appt
Someone called from OSU regarding,cnfm appt
Just confirming,cnfm appt
The technicians refused to take care of he was called to do with absolutely road Leicester mass in my floor,cnfm appt
Just checking,cnfm appt
Oh that's right I'm gonna keep that appointment,cnfm appt
Appointment time with both you earlier,cnfm appt
I would like to go back to the original appointment for me 11 to 12,cnfm appt
The person told me that the appointment was Thursday but now it's Sunday I just wanna make sure I got it right,cnfm appt
Escalation of date set-up,cnfm appt
Escalation appointment date,cnfm appt
I want to know,cnfm appt
Dispatch,cnfm appt
I want to see the technician is coming coming now,cnfm appt
Check for a sooner appointment,cnfm appt
Hey just called today I just wonder what they want,cnfm appt
Call received a tech told me to call this number about an appointment,cnfm appt
That's not the correct appointment,cnfm appt
Confirm it,cnfm appt
Confirm,cnfm appt
I would like to confirm the appointment confirmed,cnfm appt
I would like to confirm the appointment,cnfm appt
Call me I think,cnfm appt
Euro car rentals here when I was in the bathroom,cnfm appt
It's all I needed to know,cnfm appt
That was that just wanted to know what the time,cnfm appt
I just received a phone call I want call them back,cnfm appt
Technician was able,cnfm appt
Yes I wanna know if the technician finished with his work number,cnfm appt
Well I got a email just now to confirm my appointment so and I don't understand what do I have to do about that,cnfm appt
Call dispatch,cnfm appt
I just want to keep my appointment mayhair,cnfm appt
Dispatch,cnfm appt
Call technician,cnfm appt
What time are they coming,cnfm appt
I just called phone,cnfm appt
My appointment is still on Thursday correct,cnfm appt
That's okay I just wanted to make sure what time it was,cnfm appt
Okay I had appointment today,cnfm appt
I'd like to have the wireless router installed,cnfm appt
Spectrum is supposed to be here they're not here,cnfm appt
Confirm appointment,cnfm appt
Confirm my appointment,cnfm appt
To confirm appointment,cnfm appt
Confirm,cnfm appt
What time,cnfm appt
That was it thank you for confirming the appointment,cnfm appt
Verify my installation status and contact 8 and 12 technician,cnfm appt
Neutrality here and he left but he did not fix it,cnfm appt
Tony here and he left but he did not fix it,cnfm appt
Where he was arguing I said go back to the van and he just left I don't know what's going on,cnfm appt
Just confirming,cnfm appt
Confirmation,cnfm appt
I called in yesterday and put it on hold,cnfm appt
I was verifying time,cnfm appt
I just wanna make sure you got the back,cnfm appt
You can help by confirming you should be here at eleven thirty give or take two minutes,cnfm appt
Let me call me,cnfm appt
That's good I just want you to know you know I don't want you to waste your time,cnfm appt
Oh I want to I just want to confirm my comportment appointment thank you,cnfm appt
Okay I was just trying to see what time he's gonna get here for thirteen minutes,cnfm appt
Confirming,cnfm appt
I want to confirm appointment,cnfm appt
Just for confirmation,cnfm appt
Just checking for time,cnfm appt
I was just calling to see if they don't have to come out on the Internet but everything is working now,cnfm appt
Confirming,cnfm appt
Need to make sure they're also bringing the updated Internet box and appointment,cnfm appt
Confirm,cnfm appt
I was wondering if you could bring our new spectrum remote my remote isn't working right,cnfm appt
I just wanted to confirm that I'm at home,cnfm appt
