Input,INTENT
Cancel it because I wasn't told I have an appointment,cncl appt
I want to cancel the appointment because my TV just came on,cncl appt
I want to cancel it cancel appointment cancel,cncl appt
Want to cancel upcoming service,cncl appt
Cancel appointment I do not need the appointment please cancel,cncl appt
The problem is okay now I need to cancel,cncl appt
We don't need them anymore and everything is working now,cncl appt
Everything is working now I don't need it,cncl appt
Need to cancel I need to cancel,cncl appt
I don't need anybody to come the problem is fixed,cncl appt
My box is working to cancel appointment,cncl appt
I want to cancel what,cncl appt
I don't think I need it now,cncl appt
I want to cancel the black eyed a day I thought it was kind of tell me what I'm trying to cancel I don't need that appointment,cncl appt
Cable six cancel appointment,cncl appt
I'm getting new service at my house they were gonna I have an appointment for tomorrow but I was calling to see if they had a cancellation for today,cncl appt
Okay okay I want to cancel but I cannot see a check to come to get this equipment,cncl appt
I need to cancel my phone before,cncl appt
Can cancel,cncl appt
I'm calling about I had to cancel it,cncl appt
Cancel them coming,cncl appt
I want to cancel that appointment is working,cncl appt
I want to cancel out,cncl appt
I want to cancel the appointment I found my missing remote control,cncl appt
No I need to cancel the appointment for now,cncl appt
I don't need the appointment now,cncl appt
Would like to cancel back appointment,cncl appt
I don't want that certain ma'am I don't need them to come,cncl appt
I need to cancel I need to cancel my appointment,cncl appt
No yes regular appointment works cancel cancel my request,cncl appt
I want to cancel it my TV is working now,cncl appt
Yes I fixed the problem I can cancel the appointment,cncl appt
I don't have a security code I wanna cancel for tomorrow,cncl appt
Cancel T V's working now,cncl appt
I don't want bill appointment,cncl appt
You could cancel it my modem is working again,cncl appt
Cancel it I don't need my problem,cncl appt
Probably need to cancel,cncl appt
The Internet came on I need to cancel the appointment I'm all set,cncl appt
Would you please cancel the appointment,cncl appt
No that just see that cancellation,cncl appt
I no longer need to come out now,cncl appt
I want to cancel the appointment and I want to cancel the new service,cncl appt
I want to cancel the appointment council,cncl appt
Cancel the appointment I discovered the problem,cncl appt
No I don't want it canceled I don't want to cancel,cncl appt
I'm all through here honey I don't need anything else,cncl appt
