Utterances,Potential Intent
|How will my bill be adjusted                                                                                                                                                                                                                                                                                |,How much are the charges
|How will my bill be affected                                                                                                                                                                                                                                                                                |,How much are the charges
|How will this affect my bill                                                                                                                                                                                                                                                                                |,How much are the charges
|How does this affect my bill                                                                                                                                                                                                                                                                                |,How much are the charges
"""Can you tell me how much my bill went up?""",How much did it increase
"""What's the amount of the increase on my bill?""",How much did it increase
"""How much higher is my bill this time?""",How much did it increase
"""I noticed a rise in my bill. How much is it?""",How much did it increase
"""What's the exact increase in my bill amount?""",How much did it increase
"""Could you tell me the increase amount on my latest bill?""",How much did it increase
"""How much more am I being charged this month?""",How much did it increase
"""I see a hike in my bill. What’s the amount?""",How much did it increase
"""Can you specify how much my bill increased by?""",How much did it increase
"""What is the amount of the jump in my bill?""",How much did it increase
"""How much was the rise in my recent bill?""",How much did it increase
"""Can you break down the bill increase for me?""",How much did it increase
"""I'm trying to figure out the bill increase amount.""",How much did it increase
"""What's the total increase on my current bill?""",How much did it increase
"""How much extra am I paying on this bill?""",How much did it increase
"""I want to know the amount my bill went up by.""",How much did it increase
"""Could you clarify the increase in my bill this cycle?""",How much did it increase
"""What's the figure of the increase on my bill?""",How much did it increase
"""How much did my bill go up from last time?""",How much did it increase
"""What amount am I seeing as an increase on my bill?""",How much did it increase
"""I need to understand the extent of my bill's increase.""",How much did it increase
"""Can you show me the amount of increase in my billing?""",How much did it increase
"""How much did my bill go up?""",How much did it increase
"""What's the extra amount on my bill?""",How much did it increase
"""How much more do I have to pay?""",How much did it increase
"""What's the added charge on my bill?""",How much did it increase
"""My bill's higher, how much higher?""",How much did it increase
"""What's the rise in my bill?""",How much did it increase
"""How much extra is on this bill?""",How much did it increase
"""Can you tell me the bill's increase?""",How much did it increase
"""What's the jump in my bill amount?""",How much did it increase
"""How much is the hike on my bill?""",How much did it increase
"""My bill's up, by how much?""",How much did it increase
"""What's the new amount on my bill?""",How much did it increase
"""How much is the bill increase?""",How much did it increase
"""What's the added sum on my bill?""",How much did it increase
"""How much higher is my bill this month?""",How much did it increase
"""Can you show me the bill increase?""",How much did it increase
"""What's this extra on my bill?""",How much did it increase
"""How much is the rise in my bill?""",How much did it increase
"""What's the amount of the bill raise?""",How much did it increase
"""How much more is my bill now?""",How much did it increase
"""My bill went up, what's the amount?""",How much did it increase
"""What's the bill's extra charge?""",How much did it increase
"""How much did you add to my bill?""",How much did it increase
"""What's the increase on this bill?""",How much did it increase
"""How much more am I paying now?""",How much did it increase
"""My bill's bigger, by how much?""",How much did it increase
"""What's the total increase in my bill?""",How much did it increase
"""How much did you raise my bill?""",How much did it increase
"""What's the bump in my bill amount?""",How much did it increase
"""How much extra am I charged?""",How much did it increase
"""What amount did my bill increase by this time?""",How much did it increase
"""I need details on the bill increase amount.""",How much did it increase
"""How much extra is on my bill this cycle?""",How much did it increase
"Can you confirm the bill increase amount?""",How much did it increase
"I'm curious about how much my bill has risen.""",How much did it increase
|Total amount due on billing                                                                                                                                                        |,How much is due
|Amount due or billing                                                                                                                                                                                                                                                                                       |,How much is due
|Amount due billing amount due                                                                                                                                                                                                                                                                               |,How much is due
|Amount due billing                                                                                                                                                                                                                                                                                          |,How much is due
|Correct billing amount due                                                                                                                                                                                                                                                                                  |,How much is due
|Amount due on billing                                                                                                                                                                                                                                                                                       |,How much is due
|Amount due billing payment                                                                                                                                                                                                                                                                                  |,How much is due
|Wi-Fi bill due                                                                                                                                                                                                                                                                                              |,How much is due
|If I was told my bill was due                                                                                                                                                                                                                                                                               |,How much is due
|If I owe bill                                                                                                                                                                                                                                                                                               |,How much is due
|Total due on my spectrum bill that I got today                                                                                                                                                                                                                                                              |,How much is due
|I'm calling about the bill how much do I owe                                                                                                                                                                                                                                                                |,How much is due
|My spectrum isn't working about my bill how much do I owe                                                                                                                                                                                                                                                |,How much is due
|I'm calling about my bill how much do I owe                                                                                                                                                                                                                                                                 |,How much is due
|How much I owe on my bill                                                                                                                                                          |,How much is due
|How much I owe on this bill                                                                                                                                                                                                          |,How much is due
|How much I owe my bill for spectrum                                                                                                                                                                                                  |,How much is due
|The how much I owe on my bill                                                                                                                                                                                                         |,How much is due
|How much I owe for the bill                                                                                                                                                                                                           |,How much is due
|How much I owe on my telephone bill                                                                                                                                                                                                   |,How much is due
|How much I owe in my bill                                                                                                                                                                                                                                                                                   |,How much is due
|How much I owe this month on my bill                                                                                                                                                                                                                                                                        |,How much is due
|How much I owe you all the next bill                                                                                                                                                                                                                                                                        |,How much is due
|How much I owe my bill                                                                                                                                                                                                                                                                                      |,How much is due
|How much I owe pay bill                                                                                                                                                                                                                                                                                     |,How much is due
|How much I owe bill                                                                                                                                                                                                                                                                                         |,How much is due
|How much I owe on the bill                                                                                                                                                                                                                                                                                  |,How much is due
|How much I want down of my bill                                                                                                                                                                                                                                                                             |,How much is due
|How much I owe a bill                                                                                                                                                                                                                                                                                       |,How much is due
|How much I owe for my bill                                                                                                                                                                                                                                                                                  |,How much is due
|How much I owe on my spectrum bill                                                                                                                                                                                                                                                                          |,How much is due
|How much I owe on my cable bill                                                                                                                                                                                                                                                                             |,How much is due
|Do you have a bill due                                                                                                                                                                                                                |,How much is due
|Do I have a current bill due                                                                                                                                                                                                          |,How much is due
|Do I have a bill coming to me                                                                                                                                                                                                         |,How much is due
|Do I have a bill due with you all                                                                                                                                                                                                     |,How much is due
|Do I have a Internet bill due                                                                                                                                                                                                                                                                               |,How much is due
|Do I have a bill due                                                                                                                                                                                                                                                                                        |,How much is due
|Do I have a bill due now                                                                                                                                                                                                                                                                                    |,How much is due
|Do I have a bill due today                                                                                                                                                                                                                                                                                  |,How much is due
|Do I have a bill due right now                                                                                                                                                                                                                                                                              |,How much is due
|Do you show I have a bill due                                                                                                                                                                                                                                                                               |,How much is due
|Do I need to pay my bill                                                                                                                                                                                                                                                                                    |,How much is due
|Do I have to pay my bill                                                                                                                                                                                                                                                                                    |,How much is due
|Do I have a bill to pay                                                                                                                                                                                                                                                                                     |,How much is due
|Do I have to pay a bill                                                                                                                                                                                                                                                                                     |,How much is due
|Do I have a bill payment                                                                                                                                                                                                                                                                                    |,How much is due
|Am I due for payment on my bill                                                                                                                                                                                                       |,How much is due
|Do I have to pay on my bill                                                                                                                                                                                                                                                                                 |,How much is due
|When is my billing due                                                                                                                                                                                                                                                                                      |,How much is due
|When is my bill due billing                                                                                                                                                                                                                                                                                 |,How much is due
|When is my billing date due                                                                                                                                                                                                                                                                                 |,How much is due
"""What's the total amount due on my bill now?""",How much is due
"""Can you tell me my current bill's due amount?""",How much is due
"""How much do I owe for this billing cycle?""",How much is due
"""What is the exact amount due on my account?""",How much is due
"""I need to know the total due for my bill.""",How much is due
"""Can you confirm the amount I owe this month?""",How much is due
"""What's my outstanding bill amount?""",How much is due
"""How much is pending on my Wi-Fi bill?""",How much is due
"""I heard my bill is due; how much is it?""",How much is due
"""Do I owe anything on my current bill?""",How much is due
"""What's the total I owe on today's bill?""",How much is due
"""I'm calling to ask, how much do I need to pay?""",How much is due
"""What is the due amount on my current bill?""",How much is due
"""How much do I owe on my phone bill?""",How much is due
"""What's the total due for my service bill this month?""",How much is due
"""Can you tell me how much I need to pay now?""",How much is due
"""What's the due amount for my internet bill?""",How much is due
"""Is there any amount due on my account today?""",How much is due
"""Do you show any due amount for my bill?""",How much is due
"""Do I need to make a payment on my bill?""",How much is due
"""Is there a bill payment I need to take care of?""",How much is due
"""Am I due to pay anything on my bill?""",How much is due
"""What's my current bill's payable amount?""",How much is due
"""Is there a specific amount I owe for my cable bill?""",How much is due
"""Can you update me on what I owe for my bill?""",How much is due
"""Can you tell me the amount of my last payment?""",How much was my last payment for
"""How much did I pay last time?""",How much was my last payment for
"""What was the total of my most recent payment?""",How much was my last payment for
"""I need to know the sum of my last bill payment.""",How much was my last payment for
"""How much was my last bill payment for?""",How much was my last payment for
"""Can you check how much I paid in my last transaction?""",How much was my last payment for
"""What amount did I last pay on my bill?""",How much was my last payment for
"""Could you tell me the amount I paid recently?""",How much was my last payment for
"""I'm wondering how much my last payment was.""",How much was my last payment for
"""What was the value of my last payment?""",How much was my last payment for
"""Can you confirm the sum of my last bill payment?""",How much was my last payment for
"""How much was deducted for my last payment?""",How much was my last payment for
"""I'd like to know the amount of my recent payment.""",How much was my last payment for
"""What did I pay in my last billing cycle?""",How much was my last payment for
"""Can you find out how much my last payment was?""",How much was my last payment for
"""I'm trying to recall how much I paid last.""",How much was my last payment for
"""How much did my account get debited last time?""",How much was my last payment for
"""What was my last payment's amount?""",How much was my last payment for
"""Can you provide the details of my last payment amount?""",How much was my last payment for
"""I'm checking the amount I paid in my last bill.""",How much was my last payment for
"""What sum did I pay on my last due?""",How much was my last payment for
