Input,INTENT
High-caliber text message saying that my service has been restored,Repeat
My device says boot now,Repeat
Can you repeat what you said,Repeat
Say again,Repeat
Can you repeat what time again,Repeat
Yes I'm saying it is something wrong with spectrum,Repeat
Can you repeat that last part,Repeat
Would you repeat that please,Repeat
You said that a person to be here by seven o'clock p.m.,Repeat
Text message that says comparator service has been restored,Repeat
Repeat step one,Repeat
Got a text saying my account was canceled,Repeat
I received a phone call saying that my,Repeat
Could you repeat that appointment again,Repeat
Time repeat the appointment time,Repeat
Please repeat the information,Repeat
Hey what's up a chart it says,Repeat
What did you say,Repeat
I just got a text saying he'll be there now,Repeat
Well I just got a math test message that says my problem has been fixed and did somebody already come outside,Repeat
I'm said I'm all done,Repeat
Hello okay you say between nine and ten,Repeat
You say ten minutes,Repeat
Can you repeat that appointment,Repeat
Saying again,Repeat
Just got a text that said that I was up and running and it is not,Repeat
You said you'd be here in thirty minutes,Repeat
Can you repeat that information for me,Repeat
Say it again,Repeat
Repeat that information,Repeat
Say that,Repeat
I got a email saying that services been restored but I don't think that's right,Repeat
Hi repeat the times,Repeat
I got a text saying this service is been restored and I have not,Repeat
Would you please read what you please say that again please,Repeat
Repeat please,Repeat
It says,Repeat
Why did I receive an email saying my situation six,Repeat
Repeat appointment time,Repeat
Yes ma'am because I said here and pushed buttons and I got TV,Repeat
I got an email saying,Repeat
Doubt she said she needs the account number,Repeat
I'm sorry I can't hear everything you say,Repeat
I can't hear you,Repeat
Say again repeat,Repeat
Can you repeat it,Repeat
Could you just repeat my appointment,Repeat
Hmmm could you just repeat it,Repeat
Say,Repeat
Can you repeat the appointment,Repeat
We received a text that said the problem was resolved,Repeat
Yeah could you repeat that what you just said I didn't understand all that he said,Repeat
I'm repeated it three times,Repeat
Hey sent me a text saying he would be here at five o'clock,Repeat
Repeat January tenth,Repeat
What did you what just what you say,Repeat
Just wanted to say the Internet is back online,Repeat
Repeat back,Repeat
Can you repeat that work,Repeat
I missed a phone call that you guys could get there earlier,Repeat
Ma'am I didn't understand you can you repeat that,Repeat
What do you say about Wednesday,Repeat
Um I'm okay say that again say the appointment time again,Repeat
No I can't hear you,Repeat
She said she said that she will have somebody out here today,Repeat
To see why I got a text saying it was good,Repeat
I already said,Repeat
Mister detail is messed up again TV messed up again,Repeat
Mercy Yanez said I zero eight,Repeat
Dan said thank you,Repeat
Collector said I would like,Repeat
I got a text saying my service was restored,Repeat
When did you say that it was,Repeat
Well you said one weeks one thirty,Repeat
It said thank you very much,Repeat
The other person said between two and three,Repeat
Repeat repeat,Repeat
You didn't help me I will be here for my appointment please I repeated this three times already,Repeat
Yes he said he fixed it,Repeat
Well I was saying,Repeat
I said five o'clock,Repeat
The time keeps changing said he was three minutes away and then it keeps changing,Repeat
Yes repeat what you just told me,Repeat
Did you did you say five o'clock,Repeat
Because I was sent a text saying that my,Repeat
Can you repeat the time for my appointment,Repeat
I just said scheduled for today,Repeat
Yes the uh read the appointment again please,Repeat
Can you repeat the date and time,Repeat
Can you repeat it again,Repeat
Repeat again,Repeat
Well I thought you was it says on my card says Thursday first the fourth 9 and 10,Repeat
I received a text that said,Repeat
And what date could you repeat that,Repeat
Excuse me I didn't hear you,Repeat
Re-repeat the date and time again please,Repeat
Did not hear you,Repeat
I received a text message saying my service was restored and it's not,Repeat
Thank you said he'd be there at five,Repeat
Repeat back please,Repeat
It says five to six o'clock,Repeat
I'm sorry what was that,Repeat
Just call me and I didn't hear,Repeat
Because the text says it's not his job,Repeat
Repeat this day and time,Repeat
I also received an email saying that,Repeat
What did you understand what I said,Repeat
What date again,Repeat
Repeat the appointment time again,Repeat
Did you did you understand what I said about about rates,Repeat
Repeat schedule,Repeat
What time is it again,Repeat
Can you repeat that information again please,Repeat
Repeat representative,Repeat
TV screen came back and said restore or activate service,Repeat
I couldn't understand I couldn't hear you when did you say appointment is,Repeat
I didn't hear you,Repeat
Today I don't know what today's date is but today's a good day,Repeat
Repeat operator,Repeat
Would you please repeat when my appointment is,Repeat
Says it's on hold,Repeat
Oh I'm saying I'm saying I would get a chance he was yesterday today I'm doing great thank you,Repeat
Tractor he says he still there,Repeat
I said yes,Repeat
Hello can you repeat that,Repeat
Tracker says he's here but he's not,Repeat
What is the date again,Repeat
You said to be outside morning,Repeat
Say what,Repeat
To say what time,Repeat
Repeat what time and what day again,Repeat
Saying he will be here at five p.m.,Repeat
What is the appointment date again,Repeat
Well you said it was going to be here at two o'clock,Repeat
What can you repeat what you just said for Tuesday what hours do you have,Repeat
What time do you have again,Repeat
Repeat it again please,Repeat
He was supposed to be here between three and four now you're saying 5 and 8's gonna be here three hours six eight o'clock that's gonna be too late,Repeat
Repeat that repeat time,Repeat
No no that's not that's not what I'm saying,Repeat
What's the plans again on the thirty first repeat the time,Repeat
My TV said S PBH three eight zero two,Repeat
You said you,Repeat
Please repeat the schedule,Repeat
You say it's going to be Friday,Repeat
What are you saying,Repeat
Please repeat,Repeat
To say to a supervisor that your representative did a good job,Repeat
Yes repeat Thursdays please,Repeat
Thank you okay she said something wrong,Repeat
I just said who was that with,Repeat
I need to hear that again I want to hear the message again December twenty eight what time,Repeat
Yes I said,Repeat
Can you repeat what time he's coming,Repeat
Yes can you repeat the date that that was canceled,Repeat
No would you repeat and would you repeat the date that that that that was canceled,Repeat
Say that again,Repeat
Oh that's okay did you say to be between four and five tomorrow,Repeat
That would work fine Thursday morning between my not what'd you say,Repeat
I said thank you I'm gonna hang up,Repeat
Could you give me my appointment again you said eleven twenty seven,Repeat
What was the appointment date again please,Repeat
No can you repeat that please,Repeat
I got a text saying that my service was restored but it's not,Repeat
You said that was between ten and eleven,Repeat
What's today's date is wrong this Wednesday,Repeat
10 to 2 I got everything said,Repeat
When is December twenty ninth what you say it world,Repeat
I said thank you,Repeat
You said tomorrow,Repeat
Report repeat appointment time,Repeat
I just said six hey,Repeat
Can you repeat what you just said please,Repeat
I'm on the street and say that'll be it,Repeat
I just tried to fix it myself so it will say spectrum a trip,Repeat
I don't I heard my phone ringing and I answered anyways you,Repeat
Reschedule repeat process please I want to reschedule,Repeat
You guys said he'd be here for 11 and 8's not here,Repeat
We were told what your saying tomorrow,Repeat
I didn't hear nothing came out,Repeat
Repeat when the appointment,Repeat
Check one more time one more time,Repeat
No that's good said between six and seven,Repeat
Can you repeat that timeframe please,Repeat
Was that was not what I said the other night,Repeat
That works for again an appointment time,Repeat
I received a call that said it was moved up,Repeat
Could you repeat it again please,Repeat
Between one and it is saying 1 and 2,Repeat
It says to conferment,Repeat
Can you repeat that again,Repeat
He said he was at our gate we hurried home he's not here how to recontacting,Repeat
No thank you I said okay,Repeat
You said no Clarkfield you change it to three o'clock,Repeat
Repeat the day,Repeat
Saturday between eleven and twelve is that what you said,Repeat
What day did you say,Repeat
You said between eleven eighty one,Repeat
Yes what is the date again,Repeat
Baby he's not coming he said hyperventilate you,Repeat
No B5 you did say the twenty first,Repeat
Your app says that he is here buddy Maye,Repeat
You said between three and four earlier now you're saying between two and three or three one four,Repeat
Did you understand what I said,Repeat
Say what I don't understand,Repeat
You said it was on schedule for Thursday,Repeat
Text message saying service is restored and it's not restored,Repeat
Can you repeat it please,Repeat
What the lady called and said he was at the door buck is not outside,Repeat
Repeat appointment day and time,Repeat
Tomorrow repeat it,Repeat
What day did you say what day did you say when she know the time,Repeat
Let me hear it again,Repeat
Because my TV says return retrieving channel info wait,Repeat
Can you repeat that time,Repeat
Can you repeat the appointment date,Repeat
Okay because it said it was coming tomorrow night,Repeat
Repeat again please,Repeat
Could you repeat that time date and time of the appointment,Repeat
Repeat message,Repeat
Why did I get an email saying my service was restored and it's not,Repeat
Can you repeat again two o'clock today,Repeat
Yeah could you repeat the time the common,Repeat
Well you said tomorrow,Repeat
I received a text saying that my services been restored and it has not,Repeat
Could you repeat that time again,Repeat
Because I was saying Perrone email,Repeat
Hmmm what what to say,Repeat
No no I can't hear you cannot,Repeat
She said did be somebody here tonight,Repeat
Yes I was saying you needed to be here between four and six,Repeat
What what what he said a home,Repeat
Okay so you're saying between six and seven she'll be here,Repeat
Okay repeat,Repeat
Fucking system is not working like you said it was,Repeat
Yes ma'am I was related to one that 2 to 3 is that what you said,Repeat
You said,Repeat
You said the seventeenth of a claim,Repeat
Saying again December watch,Repeat
Tell me again what December eighteen repeat,Repeat
It says he's a writer but he's not here,Repeat
You've been saying eight minutes for an hour or so,Repeat
Wait I I I didn't get a better say that over again,Repeat
I said the message that the main menu will not come today again,Repeat
I don't know can you repeat,Repeat
Could you repeat that for me please a appointment date,Repeat
Could you repeat that you write down,Repeat
I thought it said Saturday,Repeat
She said later time,Repeat
Again repeat,Repeat
You just said thank you ma'am,Repeat
Repeat appointment schedule,Repeat
Dad said thank you goodbye,Repeat
Repeat what you just said,Repeat
You said then an hour ago,Repeat
I said thank you very much,Repeat
I got an email that says,Repeat
I didn't hear it,Repeat
What did you say would you repeat that,Repeat
Yeah but he said he was coming tonight I don't understand,Repeat
I'm sorry repeat please,Repeat
It says thank you,Repeat
No you said tomorrow you would be here at twelve on Tuesday,Repeat
Okay say that again please,Repeat
My appointments tomorrow from ten to 9 to 10 what was the appointment time again,Repeat
Where you repeat,Repeat
Repeat the appointment,Repeat
Hello I received a text that said it was completed am ready,Repeat
Jarvis said he was here but he's not,Repeat
What did you say no charge,Repeat
I got a text message saying something about service restored,Repeat
And I said,Repeat
No you don't get that unless you're real person you never give anything to automated,Repeat
Got a email saying that everything was okay was in college,Repeat
Why do you keep repeating,Repeat
And what time do you have again,Repeat
Thank you that's okay no no representative because you say the same shit,Repeat
Wednesday can you repeat the times,Repeat
What you just say,Repeat
Repeat that please repeat repeat what you just told me,Repeat
Would you repeat would you repeat the time and date,Repeat
Well I'm going to keep the appointment you just tell me about it would you repeat the time again,Repeat
Repeat the time please,Repeat
Would you repeat that,Repeat
Repeat would you repeat that again December twelfth,Repeat
Would you repeat that I'm trying to write that down December what,Repeat
I just said thank you,Repeat
Repeat the details,Repeat
Alright that's good that's enough that's enough money to joke to say it,Repeat
Repeat date the date of the appointment,Repeat
Is this the only said day,Repeat
Repeat this morning but I don't know,Repeat
You said between 1 and 2,Repeat
It says he's here but he's not here,Repeat
Service said I was hacked,Repeat
Repeat two to three p.m.,Repeat
Six what's the time again,Repeat
No I just wanna be sure what time you said you think the time was doing 5 and 6,Repeat
I said the time you use it but the time was playing 5 and 6 correct,Repeat
Can you please repeat details,Repeat
Yes what time was that again two o'clock is that what you said,Repeat
Say again please,Repeat
Repeat Todd,Repeat
This in a text saying my service is already open my service is not,Repeat
Just repeat the date please confirm please repeat the date,Repeat
Can you repeat the date and time again please,Repeat
I'm said that,Repeat
Okay that's all just want to say printer,Repeat
No repeat repeat message,Repeat
Please say the time,Repeat
Send me to a sales representative stop repeating my appointments,Repeat
What you say December,Repeat
I can't understand I can't hear you I don't hear you I I wear hearing aids and I have a minute and I don't understand you,Repeat
Can you repeat yourself,Repeat
Would you repeat the time,Repeat
No it's close to six and I and I didn't hear you guys yet,Repeat
Call five thirteen p.m. and said he was gonna be here in fifteen minutes,Repeat
I just said,Repeat
The time is five o'clock okay time again,Repeat
Can you repeat that again honey,Repeat
Would you repeat that appointment,Repeat
Just repeat the time,Repeat
Not at this time thank you very much for your time and trouble,Repeat
Repeat appointment date,Repeat
Six eight four two and every time you say that's wrong but it's not,Repeat
Tomorrow repeat the time,Repeat
I don't know you said a time I don't want to add time,Repeat
I got a message that says if you are not satisfied with what the service was done,Repeat
Yes what did you say sorry I'm here on my other phone features Sakely,Repeat
What repeat appointment,Repeat
Just what I said,Repeat
Could you repeat this please,Repeat
I got a text saying it's already been here and I'm here now and it's not even four o'clock yet,Repeat
Would you repeat that again,Repeat
Would you please repeat the time I forgot appointment,Repeat
Say that again what do you want,Repeat
I already told you what I needed I'm not repeating myself get someone on the phone for me right now,Repeat
Where did not hear you to seven eleven days will be here,Repeat
The text said that he's here but he isn't,Repeat
Okay no I already said no schedule for Thursday,Repeat
You said eleven,Repeat
Tuesday the fifth from eleven to twelve,Repeat
Tuesday the street from ten to eleven is that what you said,Repeat
Yes repeat the message,Repeat
I don't have the security code yet we didn't get that far,Repeat
Yes she said repeat,Repeat
Can you repeat the time,Repeat
Repeat schedule time,Repeat
Yes I said from ten a.m. to eleven a.m. on Monday the four,Repeat
I'm sorry say what,Repeat
Say yes or no,Repeat
No you said Tuesday in the morning,Repeat
Saying that,Repeat
3 to 7 back from 11 to 12 that's what I just said,Repeat
What time is it going to repeat it again,Repeat
Where you repeat that appointment time again,Repeat
Just waiting telecomms you said between,Repeat
Repeat here,Repeat
Say a prayer,Repeat
Could you repeat repeat the appointment please,Repeat
Go see I don't want to hear you wait for department,Repeat
Repeat the time available,Repeat
What was that again,Repeat
Repeat a date,Repeat
Your app says that he is already here which he is not,Repeat
You keep saying one CARICOM,Repeat
Oh I said I won't be here,Repeat
Repeat for me,Repeat
Can you repeat that Heinsley,Repeat
I'm sorry repeat,Repeat
What's the date again,Repeat
Yes the text said that my Internet is fixed,Repeat
One more time,Repeat
