input,intent
I need to cancel my cable is working now,cncl appt
Did you cancel it please,cncl appt
I want to cancel the whole thing,cncl appt
Hi cancel appointment,cncl appt
Yes I'm canceling the appointment,cncl appt
Cancel I like to cancel DirecTV sulfates okay,cncl appt
No I want to cancel I want to cancel dash,cncl appt
I just want to make sure it was still going I thought it was canceled but we want you to still come,cncl appt
I need to cancellation,cncl appt
I think they canceled my mistake,cncl appt
I don't need any help thank you I just wanted to confirm that that's all,cncl appt
Cancel appointment six,cncl appt
You can cancel your appointment my line,cncl appt
No I just need to cancel it after work,cncl appt
Would like to cancel it due to mother in the hospital,cncl appt
I'd like to cancel customer service please don't know,cncl appt
Cancel appointment checking account,cncl appt
We need to cancel our appointment,cncl appt
I would like to have that canceled,cncl appt
Um I need to cancel it because my TV came back on,cncl appt
Cancel appointment and talk to a representative,cncl appt
My appointment has been canceled twice I did not cancel the appointment,cncl appt
I got a text telling me it was canceled,cncl appt
Yes cancel everything,cncl appt
You don't need my security code,cncl appt
I'd like to cancel my appointment for tomorrow,cncl appt
Cancel it my TV is working okay,cncl appt
Cancel should be canceled,cncl appt
I'd like to cancel that appointment I don't need a technician to come out,cncl appt
Do not cancel this appointment,cncl appt
If you get here on time I don't need any help,cncl appt
I need to speak to a representative to cancel the appointment,cncl appt
I don't need any more assistance,cncl appt
Can you cancel that appointment please,cncl appt
No I I just want to cancel I got it fixed,cncl appt
Cancel appointment canceled,cncl appt
Want to cancel dollar,cncl appt
Oh I need to cancel my charges,cncl appt
No I don't need any help,cncl appt
Need to cancel my appointment everything is working now,cncl appt
I don't need him to let them go someplace else,cncl appt
I need to cancel it not TV now,cncl appt
CVs working cancel,cncl appt
I don't need it anymore the phone is working,cncl appt
Technician canceled,cncl appt
Well on account I want to cancel the TV came back on,cncl appt
Yes on another line I need to cancel that come from the heart land line,cncl appt
Because I'm gonna cancel appointment,cncl appt
I want to cancel the appointment it's been fixed,cncl appt
No we will not need the appointment,cncl appt
I need to cancel my,cncl appt
I want to cancel the technician,cncl appt
I think I'll cancel that appointment,cncl appt
I want to cancel my husband's hospital,cncl appt
Yeah need to cancel,cncl appt
My TV is good so I need to cancel,cncl appt
Cancel it I got the TV working,cncl appt
Negative cancel,cncl appt
Can I have a later appointment,cncl appt
No I want to cancel appointment,cncl appt
We would like to cancel this appointment,cncl appt
Please cancel everything's okay,cncl appt
I was trying to cancel because the cable guy came back rewards,cncl appt
I need you to cancel the appointment this week they probably has been solved,cncl appt
I actually can you cancel I don't need it,cncl appt
We we want to cancel the appointment because the TV is not working beautifully,cncl appt
I need to cancel my Internet is working,cncl appt
I need to cancel my app because my computer is working now,cncl appt
I don't need it now,cncl appt
Operator cancel appointment operator,cncl appt
Delete it today,cncl appt
Cancel the French man,cncl appt
My phone is working fine I don't need the appointment,cncl appt
Why do I cancel my appointment for this morning,cncl appt
To cancel the appointment the television is working,cncl appt
I want to cancel my appointment because my Internet is back,cncl appt
It's been canceled,cncl appt
I don't need anymore help,cncl appt
Yeah well I'm going to cancel my appointment,cncl appt
We don't need you,cncl appt
I guess we need to cancel that,cncl appt
I need to I need to cancel my appointment,cncl appt
No gritting cancel it,cncl appt
I need that I need to cancel a phone off a ladder and cracked my Haddow,cncl appt
I'd like to cancel the appointment and I didn't realize medical appointment,cncl appt
It's working okay now I need to cancel that appointment,cncl appt
Our cable is working we need to cancel a service call,cncl appt
But I I don't need him,cncl appt
Canceling my service appointment,cncl appt
I just received a message stating that it was canceled I'd like to keep it,cncl appt
Mike television started working cancel,cncl appt
I'd like to cancel it all of a sudden I started to work a girl reset something and it's working now,cncl appt
I got to Texas that it was canceled and it's not canceled,cncl appt
I want to cancel what I want to get a blue,cncl appt
No cancel that appointment representative,cncl appt
Cancel appointment no apartment,cncl appt
I want to get I want to cancel,cncl appt
We need we need to cancel that,cncl appt
I don't I don't need I don't need it now because Teltone get my TVs rebooting itself,cncl appt
Phone is back online cancel appointment,cncl appt
I want to cancel that appointment my cable came back on,cncl appt
Wanna cancel my appointment,cncl appt
I don't need them to come anymore,cncl appt
You can cancel account early Selassie see if you show my schedule,cncl appt
I do not need the appointment tonight TV is working now and the sound is working,cncl appt
No no I want to cancel,cncl appt
I want to cancel my cable is working,cncl appt
I don't need anyone to come out I don't want that,cncl appt
I don't need to have a technician come anymore because my daughter set-up my modem for me just cancel the appointment,cncl appt
I got a text that says my appointment has been canceled because I canceled it I did not,cncl appt
Well I need to cancel my appointment book and the problem so I don't need that technician to come,cncl appt
Cancel this system works now,cncl appt
Cancel it we fixed it,cncl appt
Okay you can cancel back appointment,cncl appt
I I need to cancel that,cncl appt
I need to cancel my appointment due to an emergency,cncl appt
No just make sure it's canceled,cncl appt
I don't need an appointment any longer,cncl appt
Would like to cancel the call,cncl appt
I need to cancel my appointment I got all my I got my service back,cncl appt
Cancellation of previous appointments,cncl appt
I need to cancel it I'm not feeling well,cncl appt
I canceled my appointment,cncl appt
Cancel an account,cncl appt
I have appointment on birthday I'd like to cancel that and change the date,cncl appt
What like to cancel,cncl appt
Need to cancel the change,cncl appt
I want to cancel everything is okay now,cncl appt
Yeah I I want to cancel the appointment I need to talk to somebody else,cncl appt
I want to cancel I want to cancel that appointment and I wanna talk to a representative please,cncl appt
How could you cancel it,cncl appt
It's fine it's gonna delete it don't make any changes in it,cncl appt
I want to cancel I want to cancel it I don't want to program anymore,cncl appt
I need to cancel the problem is been sold,cncl appt
I'm canceling an appointment,cncl appt
Everything is working so I can cancel my appointment,cncl appt
I think I need to cancel the service technician was here and I didn't relies there was so much work involved,cncl appt
I'd like to cancel it until next week please,cncl appt
I would I would like to cancel the appointment and and start service,cncl appt
Oh cancel it,cncl appt
I think we can cancel it,cncl appt
I need to cancel that appointment make a new one,cncl appt
Okay I would like to cancel I would like to cancel service call,cncl appt
Yes I need to cancel a will call did finally get it down so,cncl appt
I want to cancel today's appointment,cncl appt
Cancel appointment I'd like to cancel an appointment,cncl appt
My cable is back on I don't need the appointment,cncl appt
It's working again so I need to cancel it,cncl appt
I want to I want to cancel for tomorrow,cncl appt
I want to cancel thank you,cncl appt
I'd like to cancel that appointment tomorrow,cncl appt
How long to cancel the phone,cncl appt
No I don't want another time,cncl appt
I want to cancel the call but I want to speak with her okay,cncl appt
I want to cancel that appointment for the Internet,cncl appt
Delete appointment,cncl appt
I don't need any help I'm just waiting for the day,cncl appt
I have to cancel my appointment,cncl appt
Yes unless there's a cancellation I can have,cncl appt
Cancel appointment system working,cncl appt
Yes I want I want to cancel it,cncl appt
We don't need an appointment,cncl appt
I canceled this appointment yesterday,cncl appt
Happy cancel,cncl appt
I like yes I would like to cancel that appointment,cncl appt
I would like to cancel and make another date,cncl appt
I would like to cancel an appointment for now,cncl appt
Cancel change,cncl appt
I I I I have to cancel,cncl appt
Representative cancel my service,cncl appt
To cancel service,cncl appt
I wanna I wanna cancel it,cncl appt
My situation has resolved itself I do not need the technician,cncl appt
I need to cancel it I fix the problem,cncl appt
I wish to cancel appointment,cncl appt
I got an email I got a text that it was canceled,cncl appt
Yes you can put me over to somebody on mobile just talk to somebody I don't want mobile phones,cncl appt
No I wanna I want to cancel that I fixed it myself,cncl appt
I want to cancel appointment my phone is working,cncl appt
No no cancel cancel,cncl appt
I want to cancel it my phone's working now,cncl appt
I don't know it I just want to cancel my appointment,cncl appt
I don't need them now I don't need nobody now I got I got my DVD,cncl appt
I need to cancel their appointment,cncl appt
Going to cancel,cncl appt
I want to cancel back,cncl appt
Cancel call call,cncl appt
Please cancel the problem has been solved,cncl appt
I don't I do not need,cncl appt
I want to cancel everything,cncl appt
Cancel appointment problem thanks,cncl appt
I know I don't I wanna cancel,cncl appt
Can I cancel my appointment,cncl appt
Cancel tech media,cncl appt
Cancel Lakendra cancel appointment,cncl appt
I need to cancel my appointment my cable is working now,cncl appt
Canceled I need to cancel that appointment,cncl appt
I need to cancel the appointment line for my TV is working cancel the appointment,cncl appt
I do not need,cncl appt
I don't need your help,cncl appt
I need to cancel the Internet came back on,cncl appt
I don't need an appointment everything is okay now,cncl appt
I don't need the text messaging the TV is back on,cncl appt
Yes I no longer need it to technician to come out,cncl appt
I need to cancel an appointment talk to somebody about it,cncl appt
Would like to speak to a representative the appointment is canceled,cncl appt
Cancel no thank you,cncl appt
Yes is it too late to cancel without being charged,cncl appt
So cancel cancel,cncl appt
Why you didn't need the security service,cncl appt
I'm going to change the appointment cancel appointment change it,cncl appt
Oh got my TV working cancel appointment,cncl appt
Cancel appointment cancel trouble call,cncl appt
Here's what I am calling about I'm canceling that I don't want it I thought it over and it's not what I want,cncl appt
I don't need help right now thank you,cncl appt
That's all I don't need anything more,cncl appt
I don't need it's working all right my phone is working now,cncl appt
Well I don't need the appointment,cncl appt
That's fine cancel,cncl appt
Are you sure that you canceled appointment,cncl appt
I need to cancel it because my Internet is working now,cncl appt
Disregard my plan cancel it,cncl appt
Yes I'd like I'd like to cancel that appointment please,cncl appt
I need to cancel it I don't need to know my monthly rewards,cncl appt
What cancel to cancel an appointment,cncl appt
I need to cancel it I I need to cancel the appointment,cncl appt
No just cancel that one for now it is to figure out some of the some of the day,cncl appt
Our TV came back on so we like to cancel the appointment please,cncl appt
You can you cancel it no longer need it,cncl appt
I'm canceling my service,cncl appt
My phone works now I would like to cancel it,cncl appt
I want to cancel my appointment I got my problem fixed,cncl appt
I don't want to time,cncl appt
I want you to cancel an appointment caliphate,cncl appt
I need to cancel this installation,cncl appt
You're supposed to text me scheduled to see if anybody cancels before Thursday but you didn't,cncl appt
What you cancel the appointment because of illness house,cncl appt
Just to see somebody cancel before I would be here tomorrow thing to eleven,cncl appt
Cancel my account cancel my claimant cancel,cncl appt
TVs working I'd like to cancel your appointment,cncl appt
J I I need Mechanicsville canceling it all in for now anyways,cncl appt
I don't need it and come back,cncl appt
Cancel what TV show working,cncl appt
Please cancel please cancel that appointment,cncl appt
No don't cancel the appointment,cncl appt
Yeah you can cancel the appointment,cncl appt
No I would like to cancel,cncl appt
I was calling to cancel the appointment because the TV is not working,cncl appt
Need to cancel lunch,cncl appt
Hello one yes cancel you don't want to change from what we got now,cncl appt
I don't want it reconnected,cncl appt
Bernier cancellation,cncl appt
Cancel appointment not needed,cncl appt
I do not have two accounts one needs to be canceled,cncl appt
We need to change the appointment please cancel it for today,cncl appt
I need to cancel it my television all of a sudden isn't working so I don't need anybody,cncl appt
I has to cancel the appointment,cncl appt
Jennifer cancellation,cncl appt
Cancel a cancel it,cncl appt
Well the TVs back working so I don't need the appointment,cncl appt
I need to cancel it tracking where where,cncl appt
I need to cancel my cable is working they came back on,cncl appt
Cancel cancel cancel I don't need it anymore I I got my phone and I'm losing it,cncl appt
Everything seems to be okay right now so we really don't need anybody to come,cncl appt
I had I had to cancel it I have a call but it cannot come here,cncl appt
I want to cancel this,cncl appt
Cancel tocallback please,cncl appt
Cancel an appointment cancel appointment,cncl appt
I wanna cancel to appointment,cncl appt
Need to cancel agent,cncl appt
I don't have I don't have the problem and I want to cancel that for tomorrow,cncl appt
I want to cancel hello I want to cancel the appointment my baby's not working,cncl appt
I want to cancel the appointment first,cncl appt
I would like to cancel the appointment my television is working now,cncl appt
Cancel it cancel the appointment,cncl appt
My cable my Internet came back on last night so I can cancel the appointment,cncl appt
Cancel it all is good now,cncl appt
I would like to cancel me up,cncl appt
You can cancel that because of TV just came up,cncl appt
Because I got a text messages telling me list that appointment was canceled,cncl appt
I need to I just wanted that canceled it,cncl appt
I want to cancel my Kivi for confining,cncl appt
They called and said the appointment was canceled,cncl appt
2 to 10 I want you to cancel that appointment,cncl appt
Cancel an appointment cancel,cncl appt
I was told that the appointment had been canceled now this is still set-up or has it been canceled,cncl appt
Cancel account about one,cncl appt
I'm gonna cancel it I don't need to be installation number is using my name,cncl appt
Cancel cancel cancel the visit,cncl appt
I want to cancel it now please can you do that cancel my appointment,cncl appt
No I wish to cancel it,cncl appt
No I want to cancel,cncl appt
Cancel it I don't need service,cncl appt
Cancel appointment service is working,cncl appt
I have problem fixed and I want to cancel the appointment,cncl appt
No I want you to cancel,cncl appt
No ma'am I'm eighty five years old I don't know how to do that we just cancel and make a new appointment,cncl appt
No morning cancel an appointment,cncl appt
I don't need them to come,cncl appt
No I I want to cancel the appointment,cncl appt
I need you to cancel it today,cncl appt
I want to cancel him the TV came back on,cncl appt
I don't need help with the appointment technical services,cncl appt
I need for you to cancel it I got my TV fix my cell,cncl appt
Cancel Declan,cncl appt
I don't need help with my appointment I need customer service,cncl appt
Let them say only thing just cancel their phone,cncl appt
I need to cancel they'll pull much,cncl appt
Yes please cancel,cncl appt
One Z you cancel it,cncl appt
No I don't need you goodbye,cncl appt
I need to cancel the TV is now working,cncl appt
I want you to know that you can cancel this,cncl appt
Yes I need to cancel that appointment,cncl appt
I don't need to,cncl appt
I just want to make sure we didn't cancel,cncl appt
Representative cancel,cncl appt
Cancel your canceling appointment,cncl appt
I think I should cancel my TV is working now,cncl appt
Hey can cancel the chasse,cncl appt
I don't need any help I just want to check to see if they're on the way,cncl appt
Can I get on a cancellation list cancellation list for sooner appointment,cncl appt
Cancel appointment cancel service don't want,cncl appt
Canceling appointment jobs done,cncl appt
No I want to I want to cancel today just working the telephone working,cncl appt
Buying cancel I'm canceling that appointment,cncl appt
I just wanted to cancel it,cncl appt
I'd like to cancel I wanna cancel that I've got my TV working out,cncl appt
I don't need an appointment I need to speak with technician,cncl appt
Well I'm very busy today because it's Christmas Eve and I didn't realize that so I was gonna called to cancel,cncl appt
I don't need the technician nineteen V isn't working this morning,cncl appt
Oh that's a cancel an appointment in back-up to Ron,cncl appt
No I'm canceling my appointment,cncl appt
You can't cancel appointment,cncl appt
I don't need the department the TV is working fine now,cncl appt
I I I don't need him the TV decided to come back on so you can't cancel the repair man,cncl appt
What to cancel it,cncl appt
I need to speak to a agent please I need to cancel the appointment,cncl appt
I'm going to I want to cancel my appointment,cncl appt
I think we've resolved the problem so we don't need an appointment,cncl appt
Hi my computer is all fix my line is and I just want to cancel,cncl appt
I need to cancel appointment buck TV is working,cncl appt
My phone is working so I don't need the technician,cncl appt
I need to cancel it the television is working now,cncl appt
Cancel job,cncl appt
I want to cancel back cancel the appointment,cncl appt
I got a email saying it was canceled,cncl appt
I have a scheduled appointment and I received a text message that is been canceled,cncl appt
Cancel it TVs on I need to cancel,cncl appt
Please cancel my appointment this is the problem the problem is fixed,cncl appt
I want to cancel everything is fine,cncl appt
Okay cancel be appointment,cncl appt
Cancel me a call back,cncl appt
Well how about you cancel that sucker,cncl appt
I wish to cancel your service altogether,cncl appt
I'd like to I'd like to cancel,cncl appt
I need to cancel that appointment because all of my TVs are now,cncl appt
I would like to cancel spectrum,cncl appt
I need to cancel that appointment please,cncl appt
I don't need anything you know,cncl appt
I don't need that appointment you can cancel that appointment,cncl appt
I want I want to cancel it,cncl appt
I would like to cancel that appointment because I'm not gonna be home at that time,cncl appt
You can cancel it because the phone is back on,cncl appt
Somebody canceled my appointment please I need to speak to somebody,cncl appt
You can cancel it the whole time he lied to me when I done dollar list three,cncl appt
Someone canceled can you call me,cncl appt
No just cancel that appointment I tried to this morning,cncl appt
I'm canceling I'm trying to cancel this morning but someone call on account calling to cancel that appointment,cncl appt
I think I Prichard came back everything's fine I need to cancel the appointment,cncl appt
Cancel I need to cancel the technician my Internet was restored,cncl appt
No don't cancel don't cancel,cncl appt
I need to call let me see what time they get to my house,cncl appt
You can cancel it I fixed it,cncl appt
I need to cancel Internet Wi-Fi router,cncl appt
Zero six seven two cancel,cncl appt
I do not need somebody to come out,cncl appt
I'm not feeling too good so I'd like to cancel until after the holiday,cncl appt
Charger cancel appointment,cncl appt
I want to cancel it because my TV is working now,cncl appt
Cancel no,cncl appt
I like to cancel it now,cncl appt
I need to cancel it I'm in the hospital and nobody's at my house so the technician can't come,cncl appt
No let me cancel the appointment,cncl appt
Cancel my call,cncl appt
I need I need to cancel it my TV is working now,cncl appt
I don't wanna,cncl appt
Last night I cancel the appointment,cncl appt
My TV is not working so I need to cancel my appointment,cncl appt
I want to cancel it's working now,cncl appt
Okay cancel,cncl appt
Well I maybe need to cancel and I got my TV to come in to work again so,cncl appt
Would you cancel the appointment,cncl appt
No that was it just cancel my appointment,cncl appt
I don't wanna cancel I wanna cancel appointment,cncl appt
Sam's gay medical I want to cancel that appointment cancel,cncl appt
I want to cancel that order,cncl appt
Can't cancel it cancel it,cncl appt
I want to cancel it because my phone's working now,cncl appt
Just cancel the appointment I don't need it right now,cncl appt
Cancel blazers,cncl appt
I wanna cancel it the cable is working,cncl appt
Cancel my order I need to speak to customer service,cncl appt
I need to cancel the appointment date I'll talk to him on the phone and the picture is back,cncl appt
To see if there I want to see if there's been a cancellation,cncl appt
I received a text at three a.m. CenturyLink had canceled my service,cncl appt
Yes I would like to cancel it,cncl appt
I need to cancel that appointment I have an appointment I have an emergency I'll take care of,cncl appt
What to cancel,cncl appt
Cancel I mean no no no no no no no no no three p.m. is fine,cncl appt
No I don't need any help with appointment I need to talk to a representative,cncl appt
Cancel my appointment is already done,cncl appt
I need I want to cancel it,cncl appt
Okay but you got that canceled right,cncl appt
I don't need to make any change everything's okay,cncl appt
I can't listen I canceled it so I don't want to call cancel,cncl appt
I need to cancel one BFI,cncl appt
I don't want a listing,cncl appt
I called to cancel my appointment,cncl appt
No I like to cancel,cncl appt
I don't need any help between my plan,cncl appt
Can't cancel the appointment,cncl appt
Issue with phoenix I need to cancel that appointment,cncl appt
Just need to cancel my appointment for the time being on the cell next month the beginning of the year,cncl appt
I need to cancel that my husband was able to get back to the TV cable box is turning on,cncl appt
I want to cancel I want to cancel this cable,cncl appt
Cancel it T V's working now,cncl appt
Appointment is complete cancel appointment is canceled,cncl appt
Hi I'm canceling sorry I think I got it to work I'm canceling it I don't want them to come,cncl appt
I need to cancel that technician,cncl appt
I would like to cancel the appointment is not needed,cncl appt
Liza said cancel,cncl appt
You can't don't need nothing else,cncl appt
I don't have a security code I want to cancel the appointment,cncl appt
I don't need it no more,cncl appt
We want to cancel the appointment,cncl appt
We got the TV fixed you can cancel the appointment,cncl appt
Mesa cancel,cncl appt
I don't need any appointments now the issue is back,cncl appt
I want to cancel that appointment TVs working fine now,cncl appt
We don't have them come here now we wanna cancel our appointment the problem that we had is been taken care of,cncl appt
Hi do you did cancel,cncl appt
I need to call you later in the day,cncl appt
No I need to cancel appointment,cncl appt
Cancel I fixed it myself,cncl appt
Just cancel cancel my call,cncl appt
I'm I'm calling to cancel that,cncl appt
I don't need any help now,cncl appt
I would like to cancel that the TV has straightened out,cncl appt
Yeah I want to cancel cancel that,cncl appt
I finally got my cable working I would like to cancel,cncl appt
I don't want to cancel it,cncl appt
Cancel this service,cncl appt
I want to cancel this service,cncl appt
I'd like I'd like to cancel,cncl appt
V to cancel,cncl appt
I'm calling to cancel my appointment I got my D V back on cancel my appointment,cncl appt
I need to cancel just fix my problem,cncl appt
I need to cancel because a TV is working,cncl appt
Cancel it someone's already come,cncl appt
Well my TV just came on and it's fine I need to cancel that appointment,cncl appt
I'd like to cancel my appointment Bicking on my telephone is what can I unplug the modem and I put it back and I was working,cncl appt
I kept to cancel it,cncl appt
I'm not trying to call me and I can't make you San Francisco,cncl appt
This appointment was canceled last Monday,cncl appt
Um we need to cancel the appointment the problem was fixed by Jonathan,cncl appt
Phone call showed up on our television but our phones aren't working so we couldn't answer it and I do not want the appointment canceled,cncl appt
I don't need I don't need anybody to come out here that whatever happens our lady I L grandma yes I think Chiang Rai,cncl appt
I don't need to talk tonight could you let you hear me,cncl appt
Yes I like to cancel it,cncl appt
Yes no don't cancel this account,cncl appt
Don't need an appointment,cncl appt
Canceled order,cncl appt
I want to cancel it for today,cncl appt
I don't need help with that,cncl appt
Calling to cancel the TV cable,cncl appt
We need to we need to cancel this afternoon,cncl appt
I need to I need to cancel my settlement is not happening today,cncl appt
Cancel that appointment but I think they're still coming,cncl appt
Cancel it the cable someone,cncl appt
Cancel my appointment so next Tuesday,cncl appt
Do you work no my TV is working I don't need a technician,cncl appt
Cancel meeting,cncl appt
I made a mistake and cancel my appointment I need them to come from the appointment time that I requested,cncl appt
No I want to cancel that appointment,cncl appt
I don't know you called me if you woke me up if you Mancino I don't know what you want,cncl appt
Can we cancel,cncl appt
I received the email so I can cancel the email,cncl appt
I want you to cancel the appointment the TV is working fine whatever you've done it's,cncl appt
Cancel department,cncl appt
Cancel dollar thing cancel,cncl appt
I need to cancel it I figured out what was wrong,cncl appt
I'd like to cancel the appointment the television started working,cncl appt
Hey can I cancel,cncl appt
Major cancel,cncl appt
You send me a confirmation of the cancellation,cncl appt
I need to cancel that my Internet is working now,cncl appt
Cancel appointment item six,cncl appt
Cancel information,cncl appt
No I don't need that I am canceling appointment,cncl appt
I don't want it,cncl appt
Don't need help with a appointment,cncl appt
This account but that that eight four three four eight cancel my appointment,cncl appt
I'm gonna to cancel it,cncl appt
I have an appointment tomorrow with you guys but I have to cancel that because I have a previous appointment with my doctor,cncl appt
I need to cancel it and started working,cncl appt
I want to cancel tomorrow,cncl appt
I want I want to cancel that for now,cncl appt
Can I cancel the problems been paid,cncl appt
I want to cancel because the TV suddenly corrected itself,cncl appt
We would like to cancel it's working okay,cncl appt
I want to monitor modem is working and I want to cancel an appointment,cncl appt
I would like to cancel my appointment for today,cncl appt
I would like to cancel my cable is back on,cncl appt
Please cancel the appointment my TV is working,cncl appt
Yes appearance is no longer necessary thank you cancel,cncl appt
My stations are working cancel appointment,cncl appt
Need to cancel the account,cncl appt
Can you cancel the appointment,cncl appt
You have canceled the appointment for tomorrow,cncl appt
You need to cancel,cncl appt
Cancel I canceled it,cncl appt
Cancel appointment and connect me to a live customer service,cncl appt
No I want to cancel that I wanna know I want to speak to a customer service,cncl appt
I don't think I need them to come I think I need to cancel,cncl appt
Cancel dollar appointment,cncl appt
I need to cancel my wire care came and got covert,cncl appt
We are canceling appointment,cncl appt
I want to cancel I don't even know,cncl appt
Oh I need to cancel do you have anything on Saturday,cncl appt
The tech is sitting outside but has not come in yet doesn't work do I need to do,cncl appt
Yes I called to cancel this I don't know if I'll be back in time for them to get handpicked channels school,cncl appt
No I do not need a technician my TV is working again,cncl appt
We need to cancel the appointment we do not need the operator,cncl appt
I want to cancel breakdown,cncl appt
Hmmm cancel the appointment,cncl appt
Want to cancel the whole,cncl appt
Repair repair repair repair,cncl appt
We need to cancel tomorrow's appointment,cncl appt
I want to cancel the appointment my mind and I working now,cncl appt
I just needed to cancel it,cncl appt
We can cancel my DVD back,cncl appt
I need to cancel it the problem is been overcome,cncl appt
I need to delete it cancel it,cncl appt
I need to cancel the repair is already made,cncl appt
Cancel cancel phone,cncl appt
Everything working fine now I don't need to take tomorrow between 1 and 2 thank you,cncl appt
They want me to cancel it and I don't want to because I'm constantly going worth it trying to keep it on,cncl appt
Cancel the appointment Internet is working,cncl appt
You can cancel that appointment,cncl appt
What do you cancel it please,cncl appt
I would like to cancel we do not want to make changes at this time,cncl appt
Cancel Internet I'm sorry cancel cable,cncl appt
I don't need any other help no I'm done thank you,cncl appt
I want to cancel my appointment my work TV is working now,cncl appt
I need to cancel the appointment I got the Internet set-up,cncl appt
I received a notice that it was canceled customer service please,cncl appt
Appointment was canceled need more info,cncl appt
I don't need don't know I don't shouldn't have an appointment,cncl appt
I want to cancel I wanna cancel the appointment,cncl appt
My TV service is working I wish to cancel the appointment,cncl appt
I don't need anyone to come because yesterday,cncl appt
I canceled service,cncl appt
I wish to cancel that appointment I do not want your service,cncl appt
Hi fixed I wanna cancel the technician I got my Internet to work,cncl appt
I'd like to cancel it because my service has been restored,cncl appt
I want to cancel it completely,cncl appt
I like to cancel I like to cancel the call,cncl appt
I want to cancel it my TV came on,cncl appt
I'm not sure I don't need the appointment,cncl appt
I need to cancel back with the TV strike that it's working okay right now thank wait-and-see at work just cancel the appointment,cncl appt
J cancel the appointment right,cncl appt
I don't want to cancel it no,cncl appt
No that's okay I don't need you go no thank you goodbye,cncl appt
You called me and I need to see why you call me,cncl appt
Cancel 11 and 5,cncl appt
I just need to cancel that appointment,cncl appt
I need to cancel it TVs back in order it came on on four o'clock this morning,cncl appt
I need to cancel the appointment the problem is been corrected,cncl appt
Do not cancel,cncl appt
Someone canceled my appointment,cncl appt
No I'm not interested anymore I do not need any further assistance,cncl appt
I'm going to cancel the appointment,cncl appt
Yes cancel the limit everything is fine with my three,cncl appt
We need to cancel the appointment please,cncl appt
Well everything seemed to be working now all of a sudden so I guess I don't need it,cncl appt
Please cancel it I already told you to cancel it please come tomorrow,cncl appt
Cancel need to cancel,cncl appt
I want to cancel it it's working now,cncl appt
Supervisor about my previous appointment be canceled without my consent,cncl appt
Cancel it I'm not home,cncl appt
I cancel my appointment,cncl appt
Appointment still needed do not cancel,cncl appt
Cancel it please make TVs with my cable is working cancel appointment,cncl appt
We need to cancel that,cncl appt
I don't need a technician I need help on setting up here,cncl appt
I just turned my television on and it came so I don't need to service person,cncl appt
I do not I do not need an appointment,cncl appt
No no I don't need help with my appointment I need a representative,cncl appt
I need to cancel because the TV has been corrected I have my station back,cncl appt
Need to cancel a later date,cncl appt
I want to cancel is my television is working,cncl appt
I would like to cancel I need to schedule an appointment,cncl appt
Appointment shows canceled,cncl appt
I don't need help with the appointment,cncl appt
I don't need help with anything else,cncl appt
Technician just called and canceled,cncl appt
I need to cancel I need to cancel my appointment I need to cancel the appointment,cncl appt
I need to cancel it I don't need Internet,cncl appt
